hostname,os,enviroment,country,node
SSESP002,Solaris,Staging,Spain,2
SSITA002,Solaris,Staging,Italy,2
SPESP006,Solaris,Production,Spain,6
SPDEU002,Solaris,Production,Germany,2
LPFRA001,Linux,Production,France,1
AIIRL001,AIX,Integration,Ireland,1
ASDEU002,AIX,Staging,Germany,2
SIIRL002,Solaris,Integration,Ireland,2
STFRA001,Solaris,Testing,France,1
ADDEU003,AIX,Development,Germany,3
LIIRL002,Linux,Integration,Ireland,2
LPESP005,Linux,Production,Spain,5
LTIRL002,Linux,Testing,Ireland,2
LTITA003,Linux,Testing,Italy,3
LSDEU001,Linux,Staging,Germany,1
ATDEU001,AIX,Testing,Germany,1
LPIRL005,Linux,Production,Ireland,5
LTESP004,Linux,Testing,Spain,4
AIIRL002,AIX,Integration,Ireland,2
LIITA001,Linux,Integration,Italy,1
ADIRL001,AIX,Development,Ireland,1
LPIRL006,Linux,Production,Ireland,6
SSFRA001,Solaris,Staging,France,1
SPNOR001,Solaris,Production,Norway,1
LPIRL007,Linux,Production,Ireland,7
LSESP002,Linux,Staging,Spain,2
ATITA001,AIX,Testing,Italy,1
LSIRL002,Linux,Staging,Ireland,2
LPFRA002,Linux,Production,France,2
LTDEU002,Linux,Testing,Germany,2
SPITA001,Solaris,Production,Italy,1
SPITA002,Solaris,Production,Italy,2
LPIRL008,Linux,Production,Ireland,8
LSIRL003,Linux,Staging,Ireland,3
SPIRL002,Solaris,Production,Ireland,2
ATESP001,AIX,Testing,Spain,1
SPNOR002,Solaris,Production,Norway,2
AIIRL003,AIX,Integration,Ireland,3
LPIRL009,Linux,Production,Ireland,9
LPITA004,Linux,Production,Italy,4
LIIRL003,Linux,Integration,Ireland,3
ASNOR001,AIX,Staging,Norway,1
LDIRL001,Linux,Development,Ireland,1
LPESP006,Linux,Production,Spain,6
AIESP001,AIX,Integration,Spain,1
LDFRA001,Linux,Development,France,1
ADDEU004,AIX,Development,Germany,4
LPFRA003,Linux,Production,France,3
LIESP002,Linux,Integration,Spain,2
LPESP007,Linux,Production,Spain,7
LPIRL010,Linux,Production,Ireland,10
SDIRL001,Solaris,Development,Ireland,1
LIESP003,Linux,Integration,Spain,3
LSITA002,Linux,Staging,Italy,2
LTESP005,Linux,Testing,Spain,5
ATESP002,AIX,Testing,Spain,2
LTESP006,Linux,Testing,Spain,6
LDESP001,Linux,Development,Spain,1
AIITA001,AIX,Integration,Italy,1
SSDEU002,Solaris,Staging,Germany,2
LPDEU006,Linux,Production,Germany,6
LIDEU001,Linux,Integration,Germany,1
SPIRL003,Solaris,Production,Ireland,3
LTIRL003,Linux,Testing,Ireland,3
LPIRL011,Linux,Production,Ireland,11
HPITA001,HP-UX,Production,Italy,1
SPIRL004,Solaris,Production,Ireland,4
ATIRL002,AIX,Testing,Ireland,2
SDIRL002,Solaris,Development,Ireland,2
LTDEU003,Linux,Testing,Germany,3
ATIRL003,AIX,Testing,Ireland,3
SSDEU003,Solaris,Staging,Germany,3
LIDEU002,Linux,Integration,Germany,2
LSITA003,Linux,Staging,Italy,3
HIIRL001,HP-UX,Integration,Ireland,1
LSESP003,Linux,Staging,Spain,3
APDEU003,AIX,Production,Germany,3
LDDEU003,Linux,Development,Germany,3
STITA002,Solaris,Testing,Italy,2
SPIRL005,Solaris,Production,Ireland,5
LPESP008,Linux,Production,Spain,8
LPIRL012,Linux,Production,Ireland,12
ASIRL004,AIX,Staging,Ireland,4
ADFRA001,AIX,Development,France,1
ATIRL004,AIX,Testing,Ireland,4
LPNOR001,Linux,Production,Norway,1
APIRL003,AIX,Production,Ireland,3
APIRL004,AIX,Production,Ireland,4
LSDEU002,Linux,Staging,Germany,2
APESP002,AIX,Production,Spain,2
AIITA002,AIX,Integration,Italy,2
LIDEU003,Linux,Integration,Germany,3
LDESP002,Linux,Development,Spain,2
SIDEU002,Solaris,Integration,Germany,2
AIITA003,AIX,Integration,Italy,3
LSIRL004,Linux,Staging,Ireland,4
LTIRL004,Linux,Testing,Ireland,4
LPDEU007,Linux,Production,Germany,7
STDEU005,Solaris,Testing,Germany,5
SSITA003,Solaris,Staging,Italy,3
LSFRA002,Linux,Staging,France,2
SDDEU002,Solaris,Development,Germany,2
STIRL001,Solaris,Testing,Ireland,1
APITA002,AIX,Production,Italy,2
SSITA004,Solaris,Staging,Italy,4
STDEU006,Solaris,Testing,Germany,6
SSIRL004,Solaris,Staging,Ireland,4
LPIRL013,Linux,Production,Ireland,13
HTFRA001,HP-UX,Testing,France,1
LDIRL002,Linux,Development,Ireland,2
LTIRL005,Linux,Testing,Ireland,5
LTIRL006,Linux,Testing,Ireland,6
LPIRL014,Linux,Production,Ireland,14
ASITA003,AIX,Staging,Italy,3
SPIRL006,Solaris,Production,Ireland,6
SPIRL007,Solaris,Production,Ireland,7
LPESP009,Linux,Production,Spain,9
SPIRL008,Solaris,Production,Ireland,8
SSESP003,Solaris,Staging,Spain,3
LPIRL015,Linux,Production,Ireland,15
ASDEU003,AIX,Staging,Germany,3
LPDEU008,Linux,Production,Germany,8
APITA003,AIX,Production,Italy,3
LPIRL016,Linux,Production,Ireland,16
LSITA004,Linux,Staging,Italy,4
ASIRL005,AIX,Staging,Ireland,5
LDDEU004,Linux,Development,Germany,4
LPFRA004,Linux,Production,France,4
SDIRL003,Solaris,Development,Ireland,3
ADDEU005,AIX,Development,Germany,5
STIRL002,Solaris,Testing,Ireland,2
HIESP001,HP-UX,Integration,Spain,1
STDEU007,Solaris,Testing,Germany,7
ATDEU002,AIX,Testing,Germany,2
SDNOR001,Solaris,Development,Norway,1
LDNOR002,Linux,Development,Norway,2
LSITA005,Linux,Staging,Italy,5
LPIRL017,Linux,Production,Ireland,17
LSITA006,Linux,Staging,Italy,6
AIITA004,AIX,Integration,Italy,4
HTDEU003,HP-UX,Testing,Germany,3
SPIRL009,Solaris,Production,Ireland,9
AIITA005,AIX,Integration,Italy,5
HTDEU004,HP-UX,Testing,Germany,4
SDESP001,Solaris,Development,Spain,1
LSESP004,Linux,Staging,Spain,4
LSDEU003,Linux,Staging,Germany,3
LSESP005,Linux,Staging,Spain,5
HSDEU001,HP-UX,Staging,Germany,1
SDIRL004,Solaris,Development,Ireland,4
ASESP002,AIX,Staging,Spain,2
SIIRL003,Solaris,Integration,Ireland,3
SPNOR003,Solaris,Production,Norway,3
STESP002,Solaris,Testing,Spain,2
ADDEU006,AIX,Development,Germany,6
SPDEU003,Solaris,Production,Germany,3
SSDEU004,Solaris,Staging,Germany,4
HTDEU005,HP-UX,Testing,Germany,5
ATIRL005,AIX,Testing,Ireland,5
ATDEU003,AIX,Testing,Germany,3
SPESP007,Solaris,Production,Spain,7
STITA003,Solaris,Testing,Italy,3
LPFRA005,Linux,Production,France,5
LSFRA003,Linux,Staging,France,3
SPFRA001,Solaris,Production,France,1
SPITA003,Solaris,Production,Italy,3
ASIRL006,AIX,Staging,Ireland,6
ASITA004,AIX,Staging,Italy,4
LTNOR001,Linux,Testing,Norway,1
LTFRA004,Linux,Testing,France,4
LIDEU004,Linux,Integration,Germany,4
HTDEU006,HP-UX,Testing,Germany,6
APITA004,AIX,Production,Italy,4
APDEU004,AIX,Production,Germany,4
ASESP003,AIX,Staging,Spain,3
LSNOR001,Linux,Staging,Norway,1
LTIRL007,Linux,Testing,Ireland,7
LDNOR003,Linux,Development,Norway,3
ASDEU004,AIX,Staging,Germany,4
SSIRL005,Solaris,Staging,Ireland,5
LPIRL018,Linux,Production,Ireland,18
LTIRL008,Linux,Testing,Ireland,8
LIIRL004,Linux,Integration,Ireland,4
STIRL003,Solaris,Testing,Ireland,3
HPITA002,HP-UX,Production,Italy,2
LSDEU004,Linux,Staging,Germany,4
SSESP004,Solaris,Staging,Spain,4
LSIRL005,Linux,Staging,Ireland,5
SPIRL010,Solaris,Production,Ireland,10
ATESP003,AIX,Testing,Spain,3
HPITA003,HP-UX,Production,Italy,3
SDNOR002,Solaris,Development,Norway,2
LTITA004,Linux,Testing,Italy,4
ATIRL006,AIX,Testing,Ireland,6
HPDEU002,HP-UX,Production,Germany,2
LSNOR002,Linux,Staging,Norway,2
STDEU008,Solaris,Testing,Germany,8
LTNOR002,Linux,Testing,Norway,2
LPIRL019,Linux,Production,Ireland,19
LTIRL009,Linux,Testing,Ireland,9
SIIRL004,Solaris,Integration,Ireland,4
ASITA005,AIX,Staging,Italy,5
LIDEU005,Linux,Integration,Germany,5
HDIRL001,HP-UX,Development,Ireland,1
ATDEU004,AIX,Testing,Germany,4
ATDEU005,AIX,Testing,Germany,5
LDITA001,Linux,Development,Italy,1
LTIRL010,Linux,Testing,Ireland,10
LPESP010,Linux,Production,Spain,10
SDIRL005,Solaris,Development,Ireland,5
LSDEU005,Linux,Staging,Germany,5
SPDEU004,Solaris,Production,Germany,4
STIRL004,Solaris,Testing,Ireland,4
SPDEU005,Solaris,Production,Germany,5
SSNOR002,Solaris,Staging,Norway,2
LTESP007,Linux,Testing,Spain,7
ASIRL007,AIX,Staging,Ireland,7
LTDEU004,Linux,Testing,Germany,4
LTDEU005,Linux,Testing,Germany,5
SPDEU006,Solaris,Production,Germany,6
SSDEU005,Solaris,Staging,Germany,5
AIIRL004,AIX,Integration,Ireland,4
LSDEU006,Linux,Staging,Germany,6
LDIRL003,Linux,Development,Ireland,3
SPESP008,Solaris,Production,Spain,8
ADIRL002,AIX,Development,Ireland,2
LPIRL020,Linux,Production,Ireland,20
ASITA006,AIX,Staging,Italy,6
SPESP009,Solaris,Production,Spain,9
LTFRA005,Linux,Testing,France,5
SPFRA002,Solaris,Production,France,2
SPDEU007,Solaris,Production,Germany,7
SPNOR004,Solaris,Production,Norway,4
SPIRL011,Solaris,Production,Ireland,11
HPIRL003,HP-UX,Production,Ireland,3
APITA005,AIX,Production,Italy,5
LTITA005,Linux,Testing,Italy,5
LDITA002,Linux,Development,Italy,2
LSDEU007,Linux,Staging,Germany,7
LTIRL011,Linux,Testing,Ireland,11
SDDEU003,Solaris,Development,Germany,3
LIITA002,Linux,Integration,Italy,2
APDEU005,AIX,Production,Germany,5
HSIRL001,HP-UX,Staging,Ireland,1
LSITA007,Linux,Staging,Italy,7
LTFRA006,Linux,Testing,France,6
LSITA008,Linux,Staging,Italy,8
SSFRA002,Solaris,Staging,France,2
SSIRL006,Solaris,Staging,Ireland,6
SIITA001,Solaris,Integration,Italy,1
SPIRL012,Solaris,Production,Ireland,12
SSIRL007,Solaris,Staging,Ireland,7
HDITA001,HP-UX,Development,Italy,1
LDIRL004,Linux,Development,Ireland,4
LTDEU006,Linux,Testing,Germany,6
STNOR001,Solaris,Testing,Norway,1
SPITA004,Solaris,Production,Italy,4
SDITA001,Solaris,Development,Italy,1
HSDEU002,HP-UX,Staging,Germany,2
LSESP006,Linux,Staging,Spain,6
SSIRL008,Solaris,Staging,Ireland,8
STIRL005,Solaris,Testing,Ireland,5
LIIRL005,Linux,Integration,Ireland,5
ATDEU006,AIX,Testing,Germany,6
LDFRA002,Linux,Development,France,2
SSITA005,Solaris,Staging,Italy,5
LSDEU008,Linux,Staging,Germany,8
STIRL006,Solaris,Testing,Ireland,6
ADESP001,AIX,Development,Spain,1
HPFRA001,HP-UX,Production,France,1
SDIRL006,Solaris,Development,Ireland,6
LTDEU007,Linux,Testing,Germany,7
LSDEU009,Linux,Staging,Germany,9
LIDEU006,Linux,Integration,Germany,6
SSDEU006,Solaris,Staging,Germany,6
SDIRL007,Solaris,Development,Ireland,7
LPIRL021,Linux,Production,Ireland,21
LPITA005,Linux,Production,Italy,5
LPIRL022,Linux,Production,Ireland,22
ASESP004,AIX,Staging,Spain,4
STIRL007,Solaris,Testing,Ireland,7
STDEU009,Solaris,Testing,Germany,9
LSDEU010,Linux,Staging,Germany,10
LSDEU011,Linux,Staging,Germany,11
SPIRL013,Solaris,Production,Ireland,13
LTIRL012,Linux,Testing,Ireland,12
LSDEU012,Linux,Staging,Germany,12
LDESP003,Linux,Development,Spain,3
LIIRL006,Linux,Integration,Ireland,6
HTIRL004,HP-UX,Testing,Ireland,4
APFRA001,AIX,Production,France,1
HPESP001,HP-UX,Production,Spain,1
SPDEU008,Solaris,Production,Germany,8
LSDEU013,Linux,Staging,Germany,13
SSESP005,Solaris,Staging,Spain,5
ATESP004,AIX,Testing,Spain,4
APIRL005,AIX,Production,Ireland,5
STNOR002,Solaris,Testing,Norway,2
ADIRL003,AIX,Development,Ireland,3
HSIRL002,HP-UX,Staging,Ireland,2
LIESP004,Linux,Integration,Spain,4
HPESP002,HP-UX,Production,Spain,2
ASDEU005,AIX,Staging,Germany,5
LTNOR003,Linux,Testing,Norway,3
SDFRA001,Solaris,Development,France,1
APESP003,AIX,Production,Spain,3
SIDEU003,Solaris,Integration,Germany,3
SPIRL014,Solaris,Production,Ireland,14
STDEU010,Solaris,Testing,Germany,10
APFRA002,AIX,Production,France,2
SPFRA003,Solaris,Production,France,3
SPITA005,Solaris,Production,Italy,5
STESP003,Solaris,Testing,Spain,3
LPNOR002,Linux,Production,Norway,2
LPIRL023,Linux,Production,Ireland,23
LSIRL006,Linux,Staging,Ireland,6
LDIRL005,Linux,Development,Ireland,5
SSIRL009,Solaris,Staging,Ireland,9
ATNOR002,AIX,Testing,Norway,2
HSNOR001,HP-UX,Staging,Norway,1
LPIRL024,Linux,Production,Ireland,24
LDESP004,Linux,Development,Spain,4
SDDEU004,Solaris,Development,Germany,4
HDIRL002,HP-UX,Development,Ireland,2
SPIRL015,Solaris,Production,Ireland,15
LPNOR003,Linux,Production,Norway,3
STDEU011,Solaris,Testing,Germany,11
ATITA002,AIX,Testing,Italy,2
APFRA003,AIX,Production,France,3
SPFRA004,Solaris,Production,France,4
LPIRL025,Linux,Production,Ireland,25
LTIRL013,Linux,Testing,Ireland,13
APIRL006,AIX,Production,Ireland,6
LDITA003,Linux,Development,Italy,3
LSIRL007,Linux,Staging,Ireland,7
ASITA007,AIX,Staging,Italy,7
LDIRL006,Linux,Development,Ireland,6
SDIRL008,Solaris,Development,Ireland,8
LSIRL008,Linux,Staging,Ireland,8
LPNOR004,Linux,Production,Norway,4
LPESP011,Linux,Production,Spain,11
HPDEU003,HP-UX,Production,Germany,3
SPIRL016,Solaris,Production,Ireland,16
SDFRA002,Solaris,Development,France,2
STITA004,Solaris,Testing,Italy,4
HTITA001,HP-UX,Testing,Italy,1
APITA006,AIX,Production,Italy,6
SPDEU009,Solaris,Production,Germany,9
SDNOR003,Solaris,Development,Norway,3
LPESP012,Linux,Production,Spain,12
SDDEU005,Solaris,Development,Germany,5
LTDEU008,Linux,Testing,Germany,8
STFRA002,Solaris,Testing,France,2
ATNOR003,AIX,Testing,Norway,3
HTIRL005,HP-UX,Testing,Ireland,5
LPITA006,Linux,Production,Italy,6
LDITA004,Linux,Development,Italy,4
ADDEU007,AIX,Development,Germany,7
HPESP003,HP-UX,Production,Spain,3
HTIRL006,HP-UX,Testing,Ireland,6
STITA005,Solaris,Testing,Italy,5
SPDEU010,Solaris,Production,Germany,10
LTITA006,Linux,Testing,Italy,6
LTIRL014,Linux,Testing,Ireland,14
LSITA009,Linux,Staging,Italy,9
STDEU012,Solaris,Testing,Germany,12
LIDEU007,Linux,Integration,Germany,7
SPDEU011,Solaris,Production,Germany,11
HPDEU004,HP-UX,Production,Germany,4
SPESP010,Solaris,Production,Spain,10
LPITA007,Linux,Production,Italy,7
APITA007,AIX,Production,Italy,7
ADDEU008,AIX,Development,Germany,8
ASNOR002,AIX,Staging,Norway,2
STIRL008,Solaris,Testing,Ireland,8
AIITA006,AIX,Integration,Italy,6
ATFRA002,AIX,Testing,France,2
LSFRA004,Linux,Staging,France,4
LIITA003,Linux,Integration,Italy,3
LIDEU008,Linux,Integration,Germany,8
LIITA004,Linux,Integration,Italy,4
SPNOR005,Solaris,Production,Norway,5
LPNOR005,Linux,Production,Norway,5
SPESP011,Solaris,Production,Spain,11
LDIRL007,Linux,Development,Ireland,7
LSNOR003,Linux,Staging,Norway,3
ASFRA001,AIX,Staging,France,1
APDEU006,AIX,Production,Germany,6
LPITA008,Linux,Production,Italy,8
SSITA006,Solaris,Staging,Italy,6
LPITA009,Linux,Production,Italy,9
SPIRL017,Solaris,Production,Ireland,17
HSIRL003,HP-UX,Staging,Ireland,3
LTDEU009,Linux,Testing,Germany,9
ATITA003,AIX,Testing,Italy,3
LPFRA006,Linux,Production,France,6
HTIRL007,HP-UX,Testing,Ireland,7
LSDEU014,Linux,Staging,Germany,14
HTESP001,HP-UX,Testing,Spain,1
SPFRA005,Solaris,Production,France,5
ADIRL004,AIX,Development,Ireland,4
HPNOR001,HP-UX,Production,Norway,1
LIFRA002,Linux,Integration,France,2
HPIRL004,HP-UX,Production,Ireland,4
HDDEU001,HP-UX,Development,Germany,1
LTIRL015,Linux,Testing,Ireland,15
SDIRL009,Solaris,Development,Ireland,9
SSDEU007,Solaris,Staging,Germany,7
SINOR001,Solaris,Integration,Norway,1
LSIRL009,Linux,Staging,Ireland,9
STESP004,Solaris,Testing,Spain,4
SPDEU012,Solaris,Production,Germany,12
ASIRL008,AIX,Staging,Ireland,8
STITA006,Solaris,Testing,Italy,6
LTDEU010,Linux,Testing,Germany,10
LTFRA007,Linux,Testing,France,7
STESP005,Solaris,Testing,Spain,5
APITA008,AIX,Production,Italy,8
SPDEU013,Solaris,Production,Germany,13
LSESP007,Linux,Staging,Spain,7
SPDEU014,Solaris,Production,Germany,14
LIDEU009,Linux,Integration,Germany,9
SPITA006,Solaris,Production,Italy,6
AIESP002,AIX,Integration,Spain,2
LPIRL026,Linux,Production,Ireland,26
LTDEU011,Linux,Testing,Germany,11
LDDEU005,Linux,Development,Germany,5
APESP004,AIX,Production,Spain,4
LDESP005,Linux,Development,Spain,5
LTIRL016,Linux,Testing,Ireland,16
ATIRL007,AIX,Testing,Ireland,7
SPESP012,Solaris,Production,Spain,12
STIRL009,Solaris,Testing,Ireland,9
LIIRL007,Linux,Integration,Ireland,7
LPESP013,Linux,Production,Spain,13
LTESP008,Linux,Testing,Spain,8
STITA007,Solaris,Testing,Italy,7
LPIRL027,Linux,Production,Ireland,27
HPESP004,HP-UX,Production,Spain,4
LSIRL010,Linux,Staging,Ireland,10
SPDEU015,Solaris,Production,Germany,15
HTIRL008,HP-UX,Testing,Ireland,8
LSDEU015,Linux,Staging,Germany,15
LTIRL017,Linux,Testing,Ireland,17
STDEU013,Solaris,Testing,Germany,13
SSITA007,Solaris,Staging,Italy,7
HDITA002,HP-UX,Development,Italy,2
LTIRL018,Linux,Testing,Ireland,18
SSESP006,Solaris,Staging,Spain,6
HDIRL003,HP-UX,Development,Ireland,3
LSESP008,Linux,Staging,Spain,8
SSIRL010,Solaris,Staging,Ireland,10
SPIRL018,Solaris,Production,Ireland,18
SPITA007,Solaris,Production,Italy,7
ASESP005,AIX,Staging,Spain,5
LSIRL011,Linux,Staging,Ireland,11
STFRA003,Solaris,Testing,France,3
SPDEU016,Solaris,Production,Germany,16
SSESP007,Solaris,Staging,Spain,7
LIESP005,Linux,Integration,Spain,5
SSITA008,Solaris,Staging,Italy,8
HPITA004,HP-UX,Production,Italy,4
HPDEU005,HP-UX,Production,Germany,5
LSIRL012,Linux,Staging,Ireland,12
APDEU007,AIX,Production,Germany,7
LIIRL008,Linux,Integration,Ireland,8
ATESP005,AIX,Testing,Spain,5
ASIRL009,AIX,Staging,Ireland,9
LTFRA008,Linux,Testing,France,8
SPITA008,Solaris,Production,Italy,8
SPITA009,Solaris,Production,Italy,9
LTITA007,Linux,Testing,Italy,7
ATIRL008,AIX,Testing,Ireland,8
ATDEU007,AIX,Testing,Germany,7
ATESP006,AIX,Testing,Spain,6
HIESP002,HP-UX,Integration,Spain,2
LDIRL008,Linux,Development,Ireland,8
LTIRL019,Linux,Testing,Ireland,19
STIRL010,Solaris,Testing,Ireland,10
LTESP009,Linux,Testing,Spain,9
LSDEU016,Linux,Staging,Germany,16
HSIRL004,HP-UX,Staging,Ireland,4
SSIRL011,Solaris,Staging,Ireland,11
LTDEU012,Linux,Testing,Germany,12
LPDEU009,Linux,Production,Germany,9
LPIRL028,Linux,Production,Ireland,28
LDIRL009,Linux,Development,Ireland,9
LTNOR004,Linux,Testing,Norway,4
SSITA009,Solaris,Staging,Italy,9
LSDEU017,Linux,Staging,Germany,17
APESP005,AIX,Production,Spain,5
LPDEU010,Linux,Production,Germany,10
APDEU008,AIX,Production,Germany,8
LPESP014,Linux,Production,Spain,14
ADITA001,AIX,Development,Italy,1
LDIRL010,Linux,Development,Ireland,10
STDEU014,Solaris,Testing,Germany,14
SSDEU008,Solaris,Staging,Germany,8
APDEU009,AIX,Production,Germany,9
LPIRL029,Linux,Production,Ireland,29
LPFRA007,Linux,Production,France,7
HTFRA002,HP-UX,Testing,France,2
ASDEU006,AIX,Staging,Germany,6
ASDEU007,AIX,Staging,Germany,7
ATIRL009,AIX,Testing,Ireland,9
HTFRA003,HP-UX,Testing,France,3
ATESP007,AIX,Testing,Spain,7
LSNOR004,Linux,Staging,Norway,4
LSFRA005,Linux,Staging,France,5
LSIRL013,Linux,Staging,Ireland,13
ATITA004,AIX,Testing,Italy,4
LSDEU018,Linux,Staging,Germany,18
STESP006,Solaris,Testing,Spain,6
SDESP002,Solaris,Development,Spain,2
HTESP002,HP-UX,Testing,Spain,2
SPIRL019,Solaris,Production,Ireland,19
STITA008,Solaris,Testing,Italy,8
SIFRA001,Solaris,Integration,France,1
ATIRL010,AIX,Testing,Ireland,10
APIRL007,AIX,Production,Ireland,7
LSESP009,Linux,Staging,Spain,9
ASIRL010,AIX,Staging,Ireland,10
HTIRL009,HP-UX,Testing,Ireland,9
SSIRL012,Solaris,Staging,Ireland,12
ASFRA002,AIX,Staging,France,2
LTITA008,Linux,Testing,Italy,8
SPIRL020,Solaris,Production,Ireland,20
ASITA008,AIX,Staging,Italy,8
APESP006,AIX,Production,Spain,6
STDEU015,Solaris,Testing,Germany,15
LTFRA009,Linux,Testing,France,9
HDDEU002,HP-UX,Development,Germany,2
HPESP005,HP-UX,Production,Spain,5
LPITA010,Linux,Production,Italy,10
LPIRL030,Linux,Production,Ireland,30
LPFRA008,Linux,Production,France,8
HSDEU003,HP-UX,Staging,Germany,3
STDEU016,Solaris,Testing,Germany,16
APITA009,AIX,Production,Italy,9
HIDEU002,HP-UX,Integration,Germany,2
LTIRL020,Linux,Testing,Ireland,20
SDDEU006,Solaris,Development,Germany,6
SSDEU009,Solaris,Staging,Germany,9
AIITA007,AIX,Integration,Italy,7
SSESP008,Solaris,Staging,Spain,8
SDDEU007,Solaris,Development,Germany,7
APIRL008,AIX,Production,Ireland,8
LTDEU013,Linux,Testing,Germany,13
APITA010,AIX,Production,Italy,10
LTITA009,Linux,Testing,Italy,9
LTESP010,Linux,Testing,Spain,10
LIIRL009,Linux,Integration,Ireland,9
HPITA005,HP-UX,Production,Italy,5
SPFRA006,Solaris,Production,France,6
SSIRL013,Solaris,Staging,Ireland,13
LTDEU014,Linux,Testing,Germany,14
LTIRL021,Linux,Testing,Ireland,21
SPIRL021,Solaris,Production,Ireland,21
LTIRL022,Linux,Testing,Ireland,22
LIIRL010,Linux,Integration,Ireland,10
HPDEU006,HP-UX,Production,Germany,6
STESP007,Solaris,Testing,Spain,7
SSIRL014,Solaris,Staging,Ireland,14
LPDEU011,Linux,Production,Germany,11
ATIRL011,AIX,Testing,Ireland,11
APITA011,AIX,Production,Italy,11
LTIRL023,Linux,Testing,Ireland,23
SPIRL022,Solaris,Production,Ireland,22
LDITA005,Linux,Development,Italy,5
APDEU010,AIX,Production,Germany,10
APIRL009,AIX,Production,Ireland,9
APIRL010,AIX,Production,Ireland,10
STNOR003,Solaris,Testing,Norway,3
HPITA006,HP-UX,Production,Italy,6
LTIRL024,Linux,Testing,Ireland,24
LTFRA010,Linux,Testing,France,10
SIITA002,Solaris,Integration,Italy,2
SPIRL023,Solaris,Production,Ireland,23
